name	registration_no
AARK SWAY	PV112680
AALAYA COCONUT OIL FACTORY	PV00287652
AADAM BUILDERS	PV00235788
AAMANYA TRADING	PV00203943
AALIYA HOLDINGS	PV00226027
AARAM T V	PV00227374
AAPELI HOLDINGS	PV00219956
AAU PRODUCTS	
AAUBOW .LK	PV00225085
AAYUSHA GLOBAL	PV00233985
AALIYA HOLDINGS	PV00226027
AARYA PRODUCTS	PV94846
AAISHA INTERNATIONAL	PV00228729
AAUBOW .LK	PV00225085
AAFIA HOLDINGS	PV00243848
AART OF ACCESSORIES	PV00249015
AAYSHA SMARTS	PV00252086
AARON BUILDERS	PV00251506
AAKEY COLLECTION	PV00246230
AAYUR LIFE CEYLON	PV00213829
AAVIAN LANKA	PV60587
AADIVAASI	PV00204468
AARON BUILDERS	PV00251506
AARA CERAMICS	PV117400
AASHI RIVER TRADERS	PV116705
AARY MEDIA ZONE	PV101124
AAKIF TRADING COMPANY	PV19275
